Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/qos.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/qos.eda.nokia.com/v2,GET,ResourceList,resource_list,true,true,false
/apps/qos.eda.nokia.com/v2/_ui/{pathname},GET,UIResult,,false,false,false
/apps/qos.eda.nokia.com/v2/egresspolicys,GET,com.nokia.eda.qos.v2.EgressPolicyList,,false,false,false
/apps/qos.eda.nokia.com/v2/forwardingclasss,GET,com.nokia.eda.qos.v2.ForwardingClassList,,false,false,false
/apps/qos.eda.nokia.com/v2/ingresspolicys,GET,com.nokia.eda.qos.v2.IngressPolicyList,,false,false,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/egresspolicys,DELETE,com.nokia.eda.qos.v2.EgressPolicyList,,false,false,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/egresspolicys,GET,com.nokia.eda.qos.v2.EgressPolicyList,egress_policy_list,true,true,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/egresspolicys,POST,com.nokia.eda.qos.v2.EgressPolicy,egress_policy,true,false,true
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/egresspolicys/_deleted,GET,com.nokia.eda.qos.v2.EgressPolicy_DeletedResources,,false,false,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/egresspolicys/{name},DELETE,Status,egress_policy,true,false,true
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/egresspolicys/{name},GET,com.nokia.eda.qos.v2.EgressPolicy,egress_policy,true,true,true
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/egresspolicys/{name},PATCH,com.nokia.eda.qos.v2.EgressPolicy,,false,false,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/egresspolicys/{name},PUT,com.nokia.eda.qos.v2.EgressPolicy,egress_policy,true,false,true
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/egresspolicys/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/egresspolicys/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/egresspolicys/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/forwardingclasss,DELETE,com.nokia.eda.qos.v2.ForwardingClassList,,false,false,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/forwardingclasss,GET,com.nokia.eda.qos.v2.ForwardingClassList,forwarding_class_list,true,true,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/forwardingclasss,POST,com.nokia.eda.qos.v2.ForwardingClass,forwarding_class,true,false,true
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/forwardingclasss/_deleted,GET,com.nokia.eda.qos.v2.ForwardingClass_DeletedResources,,false,false,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/forwardingclasss/{name},DELETE,Status,forwarding_class,true,false,true
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/forwardingclasss/{name},GET,com.nokia.eda.qos.v2.ForwardingClass,forwarding_class,true,true,true
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/forwardingclasss/{name},PATCH,com.nokia.eda.qos.v2.ForwardingClass,,false,false,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/forwardingclasss/{name},PUT,com.nokia.eda.qos.v2.ForwardingClass,forwarding_class,true,false,true
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/forwardingclasss/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/forwardingclasss/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/forwardingclasss/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/qos.eda.nokia.com/v2/namespaces/{namespace}/ingresspolicys,DELETE,com.nokia.eda.qos.v2.IngressPolicyList,,false,false,false
